date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:18:47	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.e0.delayed	(from https://www.jili17888.com/jili-slot-games)
09:18:47	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.e1.delayed	(from https://www.jili17888.com/jili-slot-games)
09:18:53	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.e2.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jili178-cash-in)
09:18:53	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.e3.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jili178-cash-in)
09:18:53	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.e4.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jili178-cash-in)
09:18:53	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.e5.delayed	(from https://www.jili17888.com/jili-slot-games/categories/jili178-cash-in)
09:18:55	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.e6.delayed	(from https://www.jili17888.com/jili-slot-games/categories/gambling-platform)
09:18:55	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.e7.delayed	(from https://www.jili17888.com/jili-slot-games/categories/gambling-platform)
09:18:55	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.e8.delayed	(from https://www.jili17888.com/jili-slot-games/categories/gambling-platform)
09:18:55	0/-1	---M--	301	error ('')			https://www.jili17888.com/promotions	C:/Users/rose/Documents/jili17888/www.jili17888.com/promotions.e9.delayed	(from https://www.jili17888.com/jili-slot-games/categories/gambling-platform)
